pop,entry,DTH,GW_1k,GM2,ton_hectare,SPI,HI,FE,TL,IN2_wt,IN3_wt,INL2,INL3,IN2_PI,IN3_PI,IN2_IN3_PI
1,945,93.03179084,26.45558413,16523.38111,4.448176474,0.427079365,0.394900655,40.48300183,27.29351839,4.403420207,2.660441686,15.35230739,9.385226266,0.118415347,0.073346914,0.191753297
1,946,90.03179084,30.6433697,15176.28043,4.598632707,0.471833015,0.413040814,32.38310541,26.50779044,3.559255883,2.435595887,14.55263158,10.14027716,0.099089255,0.070038295,0.169118586
1,947,93.03179084,33.97558413,13853.83826,4.779605046,0.497079365,0.43980253,30.5744304,24.29351839,3.563965662,2.438532595,14.22654981,9.291892933,0.09064139,0.063382357,0.154014782
1,948,114.0434411,20.51108516,18652.70873,4.789268566,0.29380381,0.367448809,72.24513394,26.4764011,4.108123158,2.263462172,19.26670471,9.838467303,0.166258135,0.093066263,0.259315432
1,951,89.88455759,23.2433697,15605.27471,3.570061278,0.341833015,0.321234081,45.9488197,27.40453998,4.199039427,3.450299938,17.32763158,11.47124959,0.130232831,0.10723995,0.237463816
1,952,114.0434411,18.17108516,12792.33159,3.349268566,0.24380381,0.286816556,72.33656251,27.9764011,4.002123158,2.844462172,19.54170471,12.3384673,0.161201814,0.11409672,0.275289568
1,953,90.04344111,31.6533697,14464.05186,4.530061278,0.391833015,0.422436918,38.95453398,25.44057744,5.119808567,3.527695775,14.72763158,10.24932898,0.124526386,0.085070899,0.209588319
1,954,90.1790241,25.7233697,22571.74329,5.752918421,0.301833015,0.401264549,58.2688197,28.09068557,3.252083147,1.901550549,16.86929825,16.13587224,0.13883784,0.079364803,0.218193678
1,957,89.88455759,32.4433697,14457.12614,4.632918421,0.321833015,0.39758616,43.2288197,28.85331995,4.962983608,3.799751973,18.75263158,11.61037386,0.143633722,0.108718976,0.252343733
1,960,89.88455759,29.6233697,13160.189,3.844346993,0.351833015,0.430217833,47.44596255,27.35331995,4.006983608,2.805751973,15.40263158,9.443707188,0.121921362,0.083961491,0.205873888
1,962,86.1790241,29.35375046,13810.05857,3.827812445,0.318171216,0.396681324,47.15276732,28.62638163,4.204197382,3.969089483,16.05861939,12.47038454,0.127299029,0.120684488,0.247974552
1,965,92.88455759,29.81558413,20786.11254,6.265319331,0.427079365,0.38193805,34.76871611,26.88904791,4.632147931,3.494597772,15.82730739,10.40532296,0.128152132,0.094888693,0.22303186
